dataset,user_id_num,creative_id_start,creative_id_end,max_len,embedding_size,epochs,batch_size,RMSProp,preprocess,network,parameters,type,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9
no_sequence,900k,,,,,,,,,,,原始数据,8799,37318,50727,37644,32667,25430,16678,7992,4868,2877
no_sequence,900k,0,1.28m,128,64,40,512,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,32",部分训练集,4971,28259,65313,49085,38574,25246,7690,3003,1297,1562
no_sequence,900k,0,1.28m,128,64,40,512,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,32",完整训练集,6736,30135,62548,46417,30527,24736,16638,3606,891,2766
no_sequence,900k,0,1.28m,128,32,30,1024,0.0005,no_sequence,GlobalMaxPooling1D,,部分训练集,4806,39449,60325,37512,32197,28727,11602,5813,2806,1763
no_sequence,900k,0,1.28m,128,32,30,1024,0.0005,no_sequence,GlobalMaxPooling1D,,完整训练集,5259,40189,58360,36746,32078,27042,13633,5963,3643,2087
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,64,0.5,32",部分训练集,2165,22617,64599,51260,40655,24823,11541,4125,2075,1140
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,64,0.5,32",完整训练集,2625,30521,66962,42566,36031,26387,12314,4257,2244,1093
no_sequence,900k,0,640k,256,128,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,部分训练集,6619,39438,53529,36494,34824,24524,15945,7189,3939,2499
no_sequence,900k,0,640k,256,128,20,256,0.0005,no_sequence,GlobalMaxPooling1D,,完整训练集,6619,39438,53529,36494,34824,24524,15945,7189,3939,2499
no_sequence,900k,0,max,128,32,30,1024,0.0005,no_sequence,GlobalMaxPooling1D,,部分训练集,4655,37283,61123,35865,35060,28888,14967,3552,2333,1274
no_sequence,900k,0,max,128,32,30,1024,0.0005,no_sequence,GlobalMaxPooling1D,,完整训练集,5414,38568,56934,34951,36686,26929,15145,5207,3244,1922
no_sequence,900k,0,max,1024,32,40,512,0.0005,no_sequence,GlobalMaxPooling1D,,部分训练集,5708,39729,56759,38830,32682,26487,14392,5758,2735,1920
no_sequence,900k,0,max,1024,32,40,512,0.0005,no_sequence,GlobalMaxPooling1D,,完整训练集,6682,38529,54271,38841,33662,25220,15972,6217,3324,2282
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,64,BN,0.5,32,BN,05.10,BN",部分训练集,1873,31387,70083,36411,42808,29285,11070,1759,0,324
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,64,BN,0.5,32,BN,05.10,BN",完整训练集,2283,30468,66004,38465,43748,29032,11140,2693,1042,125
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,128,BN,05,128,BN",部分训练集,1785,10256,99567,53459,32548,17137,7776,2269,1,202
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,64,BN,0.5,32,BN,05.10,BN",完整训练集,2283,30468,66004,38465,43748,29032,11140,2693,1042,125
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,128,BN,0.5,128,BN,0.5,10,BN",部分训练集,2966,27125,64960,39332,36839,32960,14830,3342,1581,1065
no_sequence,900k,0,640k,128,128,30,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,128,BN,0.5,128,BN,0.5,10,BN",完整训练集,2793,30339,69631,35972,38581,29835,10786,3685,2116,1262
no_sequence,900k,0,640k,128,128,60,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,128,BN,0.5,128,BN,0.5,10,BN",部分训练集,3018,34104,59555,37496,33105,41735,9866,3045,2117,959
no_sequence,900k,0,640k,128,128,60,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,128,BN,0.5,128,BN,0.5,10,BN",完整训练集,3478,30893,66806,33116,30770,42399,10661,4026,1664,1187
no_sequence,900k,0,640k,128,128,60,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,128,BN,0.5,128,BN,0.5,128,BN,0.5,128,BN,0.5,10,BN",部分训练集,1808,26451,83832,19277,31790,39947,15128,4995,1412,360
no_sequence,900k,0,640k,128,128,60,1024,0.0005,no_sequence,GlobalMaxPooling1D+MLP,"0.5,128,BN,0.5,128,BN,0.5,128,BN,0.5,128,BN,0.5,10,BN",完整训练集,2863,26293,84828,20588,31294,34711,16029,6805,984,605
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,6619,39438,53529,36494,34824,24524,15945,7189,3939,2499
,,,,,,,,,,,,,20405,34764,54931,36896,32649,20730,13754,6169,2941,1761
